GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget,rating,ticker,ret_1m,ret_3m,ret_6m,spy_ret_1m,spy_ret_3m,spy_ret_6m,excess_ret_1m,excess_ret_3m,excess_ret_6m
2026-02-26 17:06:13,Oppenheimer,Outperform,Outperform,reit,Maintains,265.0,265.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 16:22:57,DA Davidson,Buy,Buy,main,Maintains,250.0,250.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 15:44:06,RBC Capital,Outperform,Outperform,main,Raises,250.0,240.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 15:13:25,Wedbush,Outperform,Outperform,main,Raises,300.0,230.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 14:20:41,Keybanc,Overweight,Overweight,reit,Maintains,275.0,275.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 14:02:09,Truist Securities,Buy,Buy,main,Raises,283.0,275.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 12:56:10,Rosenblatt,Buy,Buy,main,Raises,300.0,245.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 12:24:39,Needham,Buy,Buy,reit,Maintains,240.0,240.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 12:00:05,B of A Securities,Buy,Buy,main,Raises,300.0,275.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 10:56:59,Benchmark,Buy,Buy,reit,Maintains,250.0,250.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-24 18:14:44,HSBC,Buy,Buy,main,Lowers,310.0,320.0,buy,NVDA,-0.08626678554390246,0.09875045947615807,0.0907642554922065,-0.7556049189655267,-0.7556049189655267,-0.7556049189655267,0.6693381334216243,0.8543553784416849,0.8463691744577332
2026-02-23 19:06:19,DA Davidson,Buy,Buy,main,Maintains,250.0,250.0,buy,NVDA,-0.0914728101810175,0.11419042719341162,0.08236590472303643,-0.7536164336653258,-0.7536164336653258,-0.7536164336653258,0.6621436234843083,0.8678068608587375,0.8359823383883622
2026-02-23 13:54:36,Keybanc,Overweight,Overweight,reit,Maintains,275.0,275.0,buy,NVDA,-0.0914728101810175,0.11419042719341162,0.08236590472303643,-0.7536164336653258,-0.7536164336653258,-0.7536164336653258,0.6621436234843083,0.8678068608587375,0.8359823383883622
2026-02-23 13:32:52,Wedbush,Outperform,Outperform,reit,Maintains,230.0,230.0,buy,NVDA,-0.0914728101810175,0.11419042719341162,0.08236590472303643,-0.7536164336653258,-0.7536164336653258,-0.7536164336653258,0.6621436234843083,0.8678068608587375,0.8359823383883622
2026-02-18 11:38:59,Needham,Buy,Buy,reit,Maintains,240.0,240.0,buy,NVDA,-0.04965582909105768,0.17414553098759136,0.1592621720657564,-0.7526046115920906,-0.7526046115920906,-0.7526046115920906,0.7029487825010329,0.9267501425796819,0.911866783657847
2026-01-16 14:35:10,Jefferies,Buy,Buy,main,Raises,275.0,250.0,buy,NVDA,0.03874883178382841,0.13264957740657685,0.14032327926621466,-0.7502376082877771,-0.7502376082877771,-0.7502376082877771,0.7889864400716055,0.8828871856943539,0.8905608875539918
2026-01-15 10:04:38,RBC Capital,Outperform,,init,Announces,240.0,0.0,buy,NVDA,-0.006765779619318748,0.06513855303542725,0.11503500741934562,-0.7553893967131823,-0.7553893967131823,-0.7553893967131823,0.7486236170938635,0.8205279497486095,0.8704244041325279
2026-01-09 17:56:54,Mizuho,Outperform,Outperform,main,Raises,275.0,245.0,buy,NVDA,0.01946570494560299,0.020007636496166492,0.14208555406319237,-0.7566956745498025,-0.7566956745498025,-0.7566956745498025,0.7761613794954054,0.7767033110459689,0.8987812286129948
2025-12-29 15:08:46,Stifel,Buy,Buy,reit,Maintains,250.0,250.0,buy,NVDA,0.01914266663448032,-0.11923353325839134,0.06822034838240773,-0.7538368853329557,-0.7538368853329557,-0.7538368853329557,0.772979551967436,0.6346033520745643,0.8220572337153634
2025-12-29 14:28:16,Truist Securities,Buy,Buy,reit,Maintains,275.0,275.0,buy,NVDA,0.01914266663448032,-0.11923353325839134,0.06822034838240773,-0.7538368853329557,-0.7538368853329557,-0.7538368853329557,0.772979551967436,0.6346033520745643,0.8220572337153634
2025-12-26 14:47:06,B of A Securities,Buy,Buy,reit,Maintains,275.0,275.0,buy,NVDA,0.0015938875327279188,-0.10992956585396414,0.037125675126960474,-0.7541755238438131,-0.7541755238438131,-0.7541755238438131,0.7557694113765411,0.644245957989849,0.7913011989707737
2025-12-26 14:41:55,Baird,Outperform,Outperform,reit,Maintains,275.0,275.0,buy,NVDA,0.0015938875327279188,-0.10992956585396414,0.037125675126960474,-0.7541755238438131,-0.7541755238438131,-0.7541755238438131,0.7557694113765411,0.644245957989849,0.7913011989707737
2025-12-26 14:00:39,Bernstein,Outperform,Outperform,reit,Maintains,275.0,275.0,buy,NVDA,0.0015938875327279188,-0.10992956585396414,0.037125675126960474,-0.7541755238438131,-0.7541755238438131,-0.7541755238438131,0.7557694113765411,0.644245957989849,0.7913011989707737
2025-12-19 13:02:24,Truist Securities,Buy,Buy,main,Raises,275.0,255.0,buy,NVDA,-0.03059506732774897,-0.0597782518931402,0.1372664444334168,-0.7532016594132468,-0.7532016594132468,-0.7532016594132468,0.7226065920854978,0.6934234075201066,0.8904681038466635
2025-12-18 19:42:20,Tigress Financial,Strong Buy,Strong Buy,main,Raises,350.0,280.0,buy,NVDA,-0.0161335409893972,-0.013372774464726497,0.15423211902985295,-0.751613142792313,-0.751613142792313,-0.751613142792313,0.7354796018029157,0.7382403683275864,0.905845261822166
2025-12-01 18:07:24,Morgan Stanley,Overweight,Overweight,main,Raises,250.0,235.0,buy,NVDA,0.04078317630022236,0.005677046192853181,0.22806374718259168,-0.7514265669518215,-0.7514265669518215,-0.7514265669518215,0.7922097432520439,0.7571036131446747,0.9794903141344132
2025-11-20 19:59:55,Citigroup,Buy,Buy,main,Raises,270.0,220.0,buy,NVDA,0.02694667432688038,0.07088924119335505,0.2272702126136837,-0.7429043637308026,-0.7429043637308026,-0.7429043637308026,0.769851038057683,0.8137936049241576,0.9701745763444862
2025-11-20 19:28:56,Barclays,Overweight,Overweight,main,Raises,275.0,240.0,buy,NVDA,0.02694667432688038,0.07088924119335505,0.2272702126136837,-0.7429043637308026,-0.7429043637308026,-0.7429043637308026,0.769851038057683,0.8137936049241576,0.9701745763444862
2025-11-20 18:30:37,JP Morgan,Overweight,Overweight,main,Raises,250.0,215.0,buy,NVDA,0.02694667432688038,0.07088924119335505,0.2272702126136837,-0.7429043637308026,-0.7429043637308026,-0.7429043637308026,0.769851038057683,0.8137936049241576,0.9701745763444862
2025-11-20 18:17:09,Jefferies,Buy,Buy,main,Raises,250.0,240.0,buy,NVDA,0.02694667432688038,0.07088924119335505,0.2272702126136837,-0.7429043637308026,-0.7429043637308026,-0.7429043637308026,0.769851038057683,0.8137936049241576,0.9701745763444862
2025-11-20 17:39:38,Oppenheimer,Outperform,Outperform,reit,Maintains,265.0,265.0,buy,NVDA,0.02694667432688038,0.07088924119335505,0.2272702126136837,-0.7429043637308026,-0.7429043637308026,-0.7429043637308026,0.769851038057683,0.8137936049241576,0.9701745763444862
2025-11-20 17:10:48,Evercore ISI Group,Outperform,Outperform,main,Raises,352.0,261.0,buy,NVDA,0.02694667432688038,0.07088924119335505,0.2272702126136837,-0.7429043637308026,-0.7429043637308026,-0.7429043637308026,0.769851038057683,0.8137936049241576,0.9701745763444862
2025-11-20 17:02:14,Susquehanna,Positive,Positive,main,Raises,250.0,230.0,buy,NVDA,0.02694667432688038,0.07088924119335505,0.2272702126136837,-0.7429043637308026,-0.7429043637308026,-0.7429043637308026,0.769851038057683,0.8137936049241576,0.9701745763444862
